HuMAP3_ID,ComplexConfidence,Uniprot_ACCs,genenames
huMAP3_09569.1,4,Q14966 Q8IXT5 Q8NEY8 P49750 Q9HCD5 Q9UPN6 Q9Y2Y9 P78332 Q9NWH9,ZNF638 RBM12B PPHLN1 YLPM1 NCOA5 SCAF8 KLF13 RBM6 SLTM
huMAP3_09570.1,4,Q9BXI9 Q9BXJ1 P02462 P25067 Q14031 Q02809,C1QTNF6 C1QTNF1 COL4A1 COL8A2 COL4A6 PLOD1
huMAP3_09571.1,4,Q2TBC4 Q5T7V8 Q9Y4F3,PRICKLE4 GORAB MARF1
huMAP3_09572.1,4,Q8WUM4 A5D8V6 Q8NEZ2 Q96EY5 Q99816 Q9H7P6 Q9H9H4 C9J7I0 Q9NZ09 Q9UK41 O75151,PDCD6IP VPS37C VPS37A MVB12A TSG101 MVB12B VPS37B UMAD1 UBAP1 VPS28 PHF2
huMAP3_09573.1,4,Q9BW62 Q9H079 O75449,KATNAL1 KATNBL1 KATNA1
huMAP3_09574.1,4,O75541 Q8NHZ7 Q8WUU4 Q9H165,ZNF821 MBD3L2 ZNF296 BCL11A
huMAP3_09575.1,4,O75746 O14734 Q8TEX9,SLC25A12 ACOT8 IPO4
huMAP3_09576.1,4,Q15172 Q92974 Q9NTK1,PPP2R5A ARHGEF2 DEPP1
huMAP3_09577.1,4,Q8WVE7 P37059 Q8N8J7 Q96D05 Q96KR6 Q9BTX3 Q969E2 Q96MH6 P31785 Q00765 Q96HR9 Q9UKJ0 O75298 O95197 Q9NZC3 Q16653,TMEM170A HSD17B2 FAM241A FAM241B FAM210B TMEM208 SCAMP4 TMEM68 IL2RG REEP5 REEP6 PILRB RTN2 RTN3 GDE1 MOG
huMAP3_09578.1,4,Q5VU69 Q8NFD2 Q9Y5B8,CFAP141 ANKK1 NME7
huMAP3_09579.1,4,P31146 Q9BR76 Q9ULV4 Q6QEF8 Q8N3V7 Q8N556 P23528 P60981 Q9Y281,CORO1A CORO1B CORO1C CORO6 SYNPO AFAP1 CFL1 DSTN CFL2
huMAP3_09580.1,4,Q3KPI0 O75899 Q9NZ53 P54753 Q8WWY8,CEACAM21 GABBR2 PODXL2 EPHB3 LIPH
huMAP3_09581.1,4,A6H8Z2 Q8TDY2 Q9BSB4 O75143 O75385 Q8IYT8,FAM221B RB1CC1 ATG101 ATG13 ULK1 ULK2
huMAP3_09582.1,4,Q14202 Q9UBW7 Q9H2P0,ZMYM3 ZMYM2 ADNP
huMAP3_09583.1,4,Q8N9M1 Q6P6C2 Q6ZUT6 O43896 Q13769 Q96FV9 Q9P2N5,C19orf47 ALKBH5 CCDC9B KIF1C THOC5 THOC1 RBM27
huMAP3_09584.1,4,O75915 O95858 Q6P5W5 Q86VR2 Q8IXU6 Q8N8J7 Q8NC44 Q96D05 Q9BTX3 Q9H1C4 Q9H2J7 Q9NRX5 B7ZAQ6 Q01628 Q00765 Q15800 Q5BKT4 Q6N075 Q8N5B7 Q92633 Q96HR9 Q96MV1 Q9UKJ0 O75298 O95197 Q16799 Q92685 Q9NQC3,ARL6IP5 TSPAN15 SLC39A4 RETREG3 SLC35F2 FAM241A RETREG2 FAM241B TMEM208 UNC93B1 SLC6A15 SERINC1 GPR89A IFITM3 REEP5 MSMO1 ALG10 MFSD5 CERS5 LPAR1 REEP6 TLCD4 PILRB RTN2 RTN3 RTN1 ALG3 RTN4
huMAP3_09585.1,4,O14513 Q92845 O14782 O15066 Q9Y496 Q8N1E2,NCKAP5 KIFAP3 KIF3C KIF3B KIF3A LYG1
huMAP3_09586.1,4,O95872 Q6DKK2 Q96EL1,GPANK1 TTC19 INKA1
huMAP3_09587.1,4,Q8IUX4 O75494 Q6UN15 Q8WXF0 Q96MU7 Q9Y383 P62995 Q09161 Q13242 Q13595 Q16629 Q7Z6E9 Q8TAD8 Q9BRL6 Q9UHC7 P49759 P49760 P49761 Q13427 Q96T58 Q9BXP5,APOBEC3F SRSF10 FIP1L1 SRSF12 YTHDC1 LUC7L2 TRA2B NCBP1 SRSF9 TRA2A SRSF7 RBBP6 SNIP1 SRSF8 MKRN1 CLK1 CLK2 CLK3 PPIG SPEN SRRT
huMAP3_09588.1,4,Q6P2H8 Q96RS6 Q7L7V1,TMEM53 NUDCD1 DHX32
huMAP3_09589.1,4,O95772 Q9NPR9 Q9Y345,STARD3NL GPR108 SLC6A5
huMAP3_09590.1,4,O75582 O75676 P31152 Q6HA08,RPS6KA5 RPS6KA4 MAPK4 ASTL
huMAP3_09591.1,4,O60330 Q9Y5H3 Q9UN71 Q9Y5E9 Q9Y5F8 Q9Y5F9 Q9Y5G0 Q9Y5G1 Q9Y5G2 Q9Y5I1 Q9Y5H5,PCDHGA12 PCDHGA10 PCDHGB4 PCDHB14 PCDHGB7 PCDHGB6 PCDHGB5 PCDHGB3 PCDHGB2 PCDHA11 PCDHA9
huMAP3_09592.1,4,O95772 Q15043 Q8N0U8 Q96BI1 Q9H061 Q9NX61 Q9ULF5 P51648 P61619 Q13433 Q8WUM9 Q9H2H9 Q9HC07 Q9NXW2 O15120 O15270 O15321 O43505 P16615 P24390 P56134 P57088 P60604 Q15392 Q5VV42 Q6IAN0 Q8NF37 Q8WUK0 Q8WY22 Q8WYP5 Q92544 Q92604 Q969X5 Q9BUB7 Q9BVG9 Q9BXW9 Q9H583 Q9HD45 Q9NZH0 Q9UBB4 Q9Y3D0 A0FGR8 O15260 O60488 O75027 O94829 O95573 P21796 P33527 P45880 P46977 P50416 P55060 P78527 Q15386 Q15629 Q5T160 Q6ZRP7 Q7KZN9 Q8WUY1 Q92973 Q9BRR3 Q9GZP9 Q9NVI1 Q9NXE4 Q9P003 Q9P035 Q9UBM7 Q9UM00 Q9Y277 Q9Y6K0 O14681 O14980 O15258 O60725 O95674 P04843 P04844 P08574 P13498 P38435 Q03135 Q14165 Q7Z3U7 Q8TCT9 Q969V3 Q99653 Q9BT22 Q9H490 Q9HCU5 Q9NWW5 Q9UKV5 Q9Y679 O00767 Q5T9L3,STARD3NL SLC39A14 VKORC1L1 SLC22A18 TMEM126A TMEM161A SLC39A10 ALDH3A2 SEC61A1 SLC39A6 SLC20A1 SLC38A1 TMEM165 DNAJB12 AGPAT2 SPTLC2 TM9SF1 B4GAT1 ATP2A2 KDELR1 ATP5MF TMEM33 UBE2G2 DHCR24 CDKAL1 DHRS7B LPCAT1 PTPMT1 BRI3BP AHCTF1 TM9SF4 LPGAT1 ERGIC1 TMEM70 PTDSS2 FANCD2 HEATR1 TM9SF3 GPRC5B ATXN10 CIAO2B ESYT2 SURF4 ACSL4 ABCB7 IPO13 ACSL3 VDAC1 ABCC1 VDAC2 STT3A CPT1A CSE1L PRKDC UBE3C TRAM1 RARS2 QSOX2 COX15 THEM6 TNPO1 PGAP4 DERL2 FANCI SMPD4 CNIH4 HACD3 DHCR7 TMCO1 VDAC3 CEPT1 EI24 XPO1 RER1 ICMT CDS2 RPN1 RPN2 CYC1 CYBA GGCX CAV1 MLEC MON2 HM13 NCLN CHP1 ALG1 PIGU PREB CLN6 AMFR AUP1 SCD WLS
huMAP3_09593.1,4,O43237 Q9Y6G9 O14576 Q13409 Q14204 Q96EX3 Q9NP97 P51808 P63172 P57723,DYNC1LI2 DYNC1LI1 DYNC1I1 DYNC1I2 DYNC1H1 DYNC2I2 DYNLRB1 DYNLT3 DYNLT1 PCBP4
huMAP3_09594.1,4,O43719 Q96CT7 O15042 O75937 P98175 Q8IWX8 Q8N302 Q96I25 Q9UPN6 Q8WW12 Q9BQ61,HTATSF1 CCDC124 U2SURP DNAJC8 RBM10 CHERP AGGF1 RBM17 SCAF8 PCNP TRIR
huMAP3_09595.1,4,O43829 Q8NHY5 Q99638 O60671 O60921,ZBTB14 HUS1B RAD9A RAD1 HUS1
huMAP3_09596.1,4,P31146 Q9BR76 O00233 Q6QEF8 Q8NBT0 Q9NQ31 Q8TC05,CORO1A CORO1B PSMD9 CORO6 POC1A AKIP1 MDM1
huMAP3_09597.1,4,Q9BXS6 P0DJD0 P0DJD1 P61970 P18754 P62826,NUSAP1 RGPD1 RGPD2 NUTF2 RCC1 RAN
huMAP3_09598.1,4,Q56UQ5 Q5T0Z8 P55160 Q8WXE0 O75334 Q7L576 Q96F07 Q9H2E6 Q9UQB8 Q9Y2A7 Q5SYE7 Q70E73 Q92558 Q9P206 Q9UPY6 Q9Y6W5 O43639 P16333 P42684 Q8IZP0 Q8WUW1 Q9NYB9 Q6T4R5,SPECIALin_UniProt_but_no_gene C6orf132 NCKAP1L CASKIN2 PPFIA2 CYFIP1 CYFIP2 SEMA6A BAIAP2 NCKAP1 NHSL1 RAPH1 WASF1 NHSL3 WASF3 WASF2 NCK2 NCK1 ABL2 ABI1 BRK1 ABI2 NHS
huMAP3_09599.1,4,Q96K31 Q9H6S3 O94804,C8orf76 EPS8L2 STK10
huMAP3_09600.1,4,O14548 P00156 P00414 P22695 P31930 Q9UDW1 O14949 P07919 P14927,COX7A2L MT-CYB MT-CO3 UQCRC2 UQCRC1 UQCR10 UQCRQ UQCRH UQCRB
huMAP3_09601.1,4,Q9NUC0 Q9Y2T4 Q8N7E2 Q9H0K1,SERTAD4 PPP2R2C CBLL2 SIK2
huMAP3_09603.1,4,Q8N4U5 Q9NUJ3 A6NHL2 P04350 P31689 P68363 Q13885 Q71U36 Q9BQE3 Q9BVA1 Q9H853 P42677 Q13509 Q3ZCM7 Q9BUF5 P07437 P36404 Q13938 Q6ZMW3 Q8N0Z6 Q8WXG6 Q9BTW9 P25445 P27708,TCP11L2 TCP11L1 TUBAL3 TUBB4A DNAJA1 TUBA1B TUBB2A TUBA1A TUBA1C TUBB2B TUBA4B RPS27 TUBB3 TUBB8 TUBB6 TUBB ARL2 CAPS EML6 TTC5 MADD TBCD FAS CAD
huMAP3_09604.1,4,P53985 Q8WUH6 O14925 Q9NS69 P56962 Q96NB2,SLC16A1 TMEM263 TIMM23 TOMM22 STX17 SFXN2
huMAP3_09605.1,4,Q5T1Q4 Q9NRZ5 P41587 O75845,SLC35F1 AGPAT4 VIPR2 SC5D
huMAP3_09606.1,4,P50876 P02452 P02461 P08123 Q8N7E2 Q9UIH9,RNF144A COL1A1 COL3A1 COL1A2 CBLL2 KLF15
huMAP3_09607.1,4,A1L170 O75400 O75052 Q6PCB5 Q5M9Q1 Q96IZ7 Q9BZI7 Q9P1Y6 Q9P2K5 Q8N5F7,C1orf226 PRPF40A NOS1AP RSBN1L NKAPL RSRC1 UPF3B PHRF1 MYEF2 NKAP
huMAP3_09608.1,4,Q05707 P02458 P14780,COL14A1 COL2A1 MMP9
huMAP3_09609.1,4,A6NIH7 Q5VZ89 O94988 Q13432 Q96DX4 O76083 P19087 Q13237 Q14699 Q5T686 Q7Z494 Q96GV9 Q96QS6 Q9ULE6 Q9Y250 Q717R9,UNC119B DENND4C FAM13A UNC119 RSPRY1 PDE9A GNAT2 PRKG2 RFTN1 AVPI1 NPHP3 MACIR PSKH2 PALD1 LZTS1 CYS1
huMAP3_09610.1,4,Q9NRW3 Q96FK6 Q96RU7,APOBEC3C WDR89 TRIB3
huMAP3_09611.1,4,Q9H2J7 Q96CP7,SLC6A15 TLCD1
huMAP3_09612.1,4,Q9Y2H5 A2RUH7 Q9BVM2,PLEKHA6 MYBPHL DPCD
huMAP3_09613.1,4,Q8IVJ1 Q9BS91,SLC41A1 SLC35A5
huMAP3_09614.1,4,Q8IZ21 P01570 O14879 P09913 P09914,PHACTR4 IFNA14 IFIT3 IFIT2 IFIT1
huMAP3_09615.1,4,Q96HT8 Q9BVK8 Q6NZI2 Q969G5 Q9Y605 Q96QT4,MRFAP1L1 TMEM147 CAVIN1 CAVIN3 MRFAP1 TRPM7
huMAP3_09616.1,4,O15213 Q9Y6Q3,WDR46 ZFP37
huMAP3_09617.1,4,P51965 Q8N2I9 Q92519 Q96MS0 Q96RU8 P41161 P50549 Q7L5Y6 Q8NHY2,UBE2E1 STK40 TRIB2 ROBO3 TRIB1 ETV5 ETV1 DET1 COP1
huMAP3_09618.1,4,Q8N4U5 P68366 Q6ZNB6 Q9UJ14,TCP11L2 TUBA4A NFXL1 GGT7
huMAP3_09619.1,4,Q6NUS6 P55145 Q16585,TCTN3 MANF SGCB
huMAP3_09620.1,4,Q96ND0 Q9Y3D6,FAM210A FIS1
huMAP3_09621.1,4,O60812 P08621 Q9UBC1 Q9UKJ3 O75494 O95218 O95232 P38919 Q05519 Q6ZUT1 Q86VM9 Q8WXF0 Q96A72 Q96MU7 Q9NWB6 Q9Y2W1 Q9Y383 O00422 O15234 P26368 P52298 P61326 P62995 P78362 P84103 Q01130 Q07955 Q08170 Q09161 Q13242 Q13247 Q13523 Q13595 Q15287 Q16629 Q7Z6E9 Q8IYB3 Q8TAD8 Q8WXA9 Q9BRL6 Q9NYV4 Q9UHC7 Q9UHX1 Q9UKV3 Q9UQ35 Q9Y5S9 P30414 P49759 P49760 P49761 Q13427 Q8N5F7 Q9BXP5 Q9HAZ1 P18583 Q9H307,HNRNPCL1 SNRNP70 NFKBIL1 GPATCH8 SRSF10 ZRANB2 LUC7L3 EIF4A3 SRSF11 NKAPD1 ZC3H18 SRSF12 MAGOHB YTHDC1 ARGLU1 THRAP3 LUC7L2 SAP18 CASC3 U2AF2 NCBP2 MAGOH TRA2B SRPK2 SRSF3 SRSF2 SRSF1 SRSF4 NCBP1 SRSF9 SRSF6 PRP4K TRA2A RNPS1 SRSF7 RBBP6 SRRM1 SNIP1 SREK1 SRSF8 CDK12 MKRN1 PUF60 ACIN1 SRRM2 RBM8A NKTR CLK1 CLK2 CLK3 PPIG NKAP SRRT CLK4 SON PNN
huMAP3_09622.1,4,P42772 P42773 P55273 Q8N726 P11802 Q00534 P09769,CDKN2B CDKN2C CDKN2D CDKN2A CDK4 CDK6 FGR
huMAP3_09623.1,4,O94952 Q5XUX0 Q6PIJ6 Q8N461 Q8NEA4 Q8NEZ5 Q96ME1 Q9H469 Q9H4M3 Q5XUX1 Q8N5M4 Q8NHM5 Q8WUF8 Q96CD0 Q9UK97 Q9UKA2 Q9UKT5 Q9Y2K7 O75618 P13639 P41002 P63208 P98169 Q13616 Q8NFZ0,FBXO21 FBXO31 FBXO38 FBXL16 FBXO36 FBXO22 FBXL18 FBXL15 FBXO44 FBXW9 TTC9C KDM2B ARB2A FBXL8 FBXO9 FBXL4 FBXO4 KDM2A DEDD EEF2 CCNF SKP1 ZXDB CUL1 FBH1
huMAP3_09624.1,4,Q16740 Q9H2U2,CLPP PPA2
huMAP3_09625.1,4,A8K855 Q6PF05 Q5W5X9 Q6IPM2 Q8WZ73,EFCAB7 TTC23L TTC23 IQCE RFFL
huMAP3_09626.1,4,O15090 O75362 Q92618 P56545 Q13363 Q8N3X6 O60315,ZNF536 ZNF217 ZNF516 CTBP2 CTBP1 LCORL ZEB2
huMAP3_09627.1,4,P49006 Q52LD8 O60551 P30419,MARCKSL1 RFTN2 NMT2 NMT1
huMAP3_09628.1,4,Q9UGC7 Q9Y5R4,MTRF1L HEMK1
huMAP3_09629.1,4,O14545 P25686 P11441 Q6L8Q7 Q9BQE5 O15119 O43681 P46379 Q7L5D6,TRAFD1 DNAJB2 UBL4A PDE12 APOL2 TBX3 GET3 BAG6 GET4
huMAP3_09630.1,4,P61764 Q15833 O75558 Q8N4C7,STXBP1 STXBP2 STX11 STX19
huMAP3_09631.1,4,Q9UBY9 O43316 O75369,HSPB7 PAX4 FLNB
huMAP3_09632.1,4,Q96DT0 Q96LA5 O76036 P13726,LGALS12 FCRL2 NCR1 F3
huMAP3_09633.1,4,Q96KQ4 Q99622 A6NKD9 A8MZ97 O60927 O75864 Q13625 Q15834 Q5TID7 Q6NYC8 Q7Z3T8 O95405 P36873 P41236 P62136 P62140 Q02833 Q12972 Q15435 Q5U651 Q8NHQ8 Q8NI77 Q8WYN3 Q96S65 Q9H175 Q9H788 Q8IWU2 Q96NE9 Q9HCD6 Q9UPR0 Q9UQ13 Q6PJW8,PPP1R13B C12orf57 CCDC85C C2orf74 PPP1R11 PPP1R37 TP53BP2 CCDC85B CCDC181 PPP1R18 ZFYVE16 ZFYVE9 PPP1CC PPP1R2 PPP1CA PPP1CB RASSF7 PPP1R8 PPP1R7 RASIP1 RASSF8 KIF18A CSRNP3 CSRNP1 CSRNP2 SH2D4A LMTK2 FRMD6 TANC2 PLCL2 SHOC2 CNST
huMAP3_09634.1,4,Q93073 O14576 Q6P1L5 Q9NP97 A0JNW5 P51808 P63167 Q86VQ1 Q8N1W2 Q96FJ2 Q9H4H8 Q9ULD9 Q14149 Q14678 O75330,SECISBP2L DYNC1I1 FAM117B DYNLRB1 BLTP3B DYNLT3 DYNLL1 GLCCI1 ZNF710 DYNLL2 FAM83D ZNF608 MORC3 KANK1 HMMR
huMAP3_09635.1,4,O75592 P0C2W1 P22692 Q8NCJ5 Q9BZQ4 Q9P2E7 P58166 Q9H293 Q9Y5J3 O75390,MYCBP2 FBXO45 IGFBP4 SPRYD3 NMNAT2 PCDH10 INHBE IL25 HEY1 CS
huMAP3_09636.1,4,Q7Z6E9 Q9BRL6 O60260,RBBP6 SRSF8 PRKN
huMAP3_09637.1,4,O43491 Q9H4G0 Q9UBC1 Q9UKJ3 Q6PCB5 Q86VM9 Q8TAA9 O00422 P26368 P52298 P62995 Q13523 Q15287 Q8TAD8 Q8WXA9 Q9BRL6 Q9BYW2 Q9HCG8 Q9UKV3 P30414 Q13427,EPB41L2 EPB41L1 NFKBIL1 GPATCH8 RSBN1L ZC3H18 VANGL1 SAP18 U2AF2 NCBP2 TRA2B PRP4K RNPS1 SNIP1 SREK1 SRSF8 SETD2 CWC22 ACIN1 NKTR PPIG
huMAP3_09638.1,4,O60231 Q92917 Q13427,DHX16 GPKOW PPIG
huMAP3_09639.1,4,Q8NAV1 P55081 P78332,PRPF38A MFAP1 RBM6
huMAP3_09640.1,4,Q9BQ48 P63173 Q8N0T1,MRPL34 RPL38 RBIS
huMAP3_09641.1,4,Q8TED9 A6ND36 Q8NHQ8 O43379 O60333 P56524 Q86YD1 Q8TEW0 Q8WUI4 P04049 P10398 Q32P44,AFAP1L1 FAM83G RASSF8 WDR62 KIF1B HDAC4 PTOV1 PARD3 HDAC7 RAF1 ARAF EML3
huMAP3_09642.1,4,O43286 Q9BUJ0 P48723 Q5TB30 Q6UXL0 Q9BXS4 Q9Y287 Q14574 Q8NC54 O75976,B4GALT5 ABHD14A HSPA13 DEPDC1 IL20RB TMEM59 ITM2B DSC3 KCT2 CPD
huMAP3_09643.1,4,Q9BY77 Q9H1N7 Q6P6C2,POLDIP3 SLC35B3 ALKBH5
huMAP3_09644.1,4,Q9NUM3 O43761 Q6NXE6,SLC39A9 SYNGR3 ARMC6
huMAP3_09645.1,4,P50539 Q9BW11 Q99583,MXI1 MXD3 MNT
huMAP3_09646.1,4,Q8N998 Q96Q89 A0MZ66,CCDC89 KIF20B SHTN1
huMAP3_09647.1,4,P05015 P01563 P01567 P05013 P05014 P05161 P41226 Q6ZT12,IFNA16 IFNA2 IFNA7 IFNA6 IFNA4 ISG15 UBA7 UBR3
huMAP3_09648.1,4,Q96BH3 O76061,ELSPBP1 STC2
huMAP3_09649.1,4,P12956 P13010 Q96FI4 P49917 Q14191,XRCC6 XRCC5 NEIL1 LIG4 WRN
huMAP3_09650.1,4,Q8TAA5 P22033,GRPEL2 MMUT
huMAP3_09651.1,4,Q96HA4 Q86W50 P43361 P55197 O60548 P42568 P55198 Q8TEK3,C1orf159 METTL16 MAGEA8 MLLT10 FOXD2 MLLT3 MLLT6 DOT1L
huMAP3_09652.1,4,O75712 O95377 Q9UKY0,GJB3 GJB5 PRND
huMAP3_09653.1,4,P61599 Q14CX7,NAA20 NAA25
huMAP3_09654.1,4,Q9UH17 P31942 P51991 Q13151 Q99729 Q9NZB2 O43390 P14866 Q14103 Q5BKZ1 P38159 Q13470 Q9UKM9,APOBEC3B HNRNPH3 HNRNPA3 HNRNPA0 HNRNPAB FAM120A HNRNPR HNRNPL HNRNPD ZNF326 RBMX TNK1 RALY
huMAP3_09655.1,4,O43918 P04080 P07711 P09668,AIRE CSTB CTSL CTSH
huMAP3_09656.1,4,Q9GZU8 Q53H80 Q8WV99 Q96AQ1 Q96LY2 Q9H9L7 O00231 O00232 O00487 O75832 P40306 Q53HC0 Q5JXX7 Q8NE28 Q96EN9 Q9P0P0 Q9UNM6 O14818 O43242 O95456 P17980 P20618 P25786 P25787 P25788 P25789 P28062 P28065 P28066 P28070 P28072 P28074 P35998 P43686 P48556 P49720 P49721 P51665 P55036 P60900 P61289 P62191 P62195 P62333 Q05086 Q06323 Q13200 Q14997 Q15008 Q16186 Q16401 Q5JS54 Q8TAA3 Q92530 Q969U7 Q99436 Q99460 Q9BRP4 Q9BT73 Q9UL46 Q9Y3I1 Q9Y5K5 Q99933 Q9Y244,PSME3IP1 AKIRIN2 ZFAND2B CCDC74A CCDC74B AKIRIN1 PSMD11 PSMD12 PSMD14 PSMD10 PSMB10 CCDC92 TMEM31 STKLD1 REX1BD RNF181 PSMD13 PSMA7 PSMD3 PSMG1 PSMC3 PSMB1 PSMA1 PSMA2 PSMA3 PSMA4 PSMB8 PSMB9 PSMA5 PSMB4 PSMB6 PSMB5 PSMC2 PSMC4 PSMD8 PSMB3 PSMB2 PSMD7 PSMD4 PSMA6 PSME3 PSMC1 PSMC5 PSMC6 UBE3A PSME1 PSMD2 PSME4 PSMD6 ADRM1 PSMD5 PSMG4 PSMA8 PSMF1 PSMG2 PSMB7 PSMD1 PAAF1 PSMG3 PSME2 FBXO7 UCHL5 BAG1 POMP
huMAP3_09657.1,4,P48426 P78356 Q8TBX8 Q9H6A0 O43865 Q5U5Q3 Q6ZN04 Q8N3E9 Q8TF01 Q9Y2E4 Q14832 Q3L8U1 Q92541,PIP4K2A PIP4K2B PIP4K2C DENND2D AHCYL1 MEX3C MEX3B PLCD3 PNISR DIP2C GRM3 CHD9 RTF1
huMAP3_09658.1,4,O75674 Q6ZVM7 Q8NC26 Q9H0E2 Q9NWM3 Q5JTB6,TOM1L1 TOM1L2 ZNF114 TOLLIP CUEDC1 PLAC9
huMAP3_09659.1,4,O75954 P21462 Q5EB52,TSPAN9 FPR1 MEST
huMAP3_09660.1,4,P55317 Q96A70 O95190 P54368,FOXA1 AZIN2 OAZ2 OAZ1
huMAP3_09661.1,4,Q5XKK7 Q9BQC3 Q9BZG8,FAM219B DPH2 DPH1
huMAP3_09662.1,4,Q8WUJ1 P47972,CYB5D2 NPTX2
huMAP3_09663.1,4,Q92567 Q9NW97 Q969T9,FAM168A TMEM51 WBP2
huMAP3_09664.1,4,Q9NXK8 Q9Y3Z3 P51570 P52701 Q9BRX2,FBXL12 SAMHD1 GALK1 MSH6 PELO
huMAP3_09665.1,4,Q8IYL3 Q8N165 Q9H6Z9,C1orf174 PDIK1L EGLN3
huMAP3_09666.1,4,Q5JSJ4 Q68E01 Q9BQ15,INTS6L INTS3 NABP2
huMAP3_09667.1,4,Q96PZ2 Q9NX05 Q9BYK8 Q8IZH2 Q9UJV8,FAM111A FAM120C HELZ2 XRN1 PURG
huMAP3_09668.1,4,Q6PI48 Q9BW92 Q9BXW7 Q9NSE4 Q9NVH6 O76031 P31327 Q08257,DARS2 TARS2 HDHD5 IARS2 TMLHE CLPX CPS1 CRYZ
huMAP3_09669.1,4,O14558 P02489 P04792,HSPB6 CRYAA HSPB1
huMAP3_09670.1,4,Q00587 Q9NUJ3 P04350 P31689 P68363 Q13885 Q71U36 Q9BQE3 Q9BVA1 Q9H853 Q13509 Q3ZCM7 Q9BRT8 Q9BUF5 O95834 P07437 P36404 Q13938 Q6ZMW3 Q8N0Z6 Q9BTW9 P25445 P27708,CDC42EP1 TCP11L1 TUBB4A DNAJA1 TUBA1B TUBB2A TUBA1A TUBA1C TUBB2B TUBA4B TUBB3 TUBB8 ZNG1A TUBB6 EML2 TUBB ARL2 CAPS EML6 TTC5 TBCD FAS CAD
huMAP3_09671.1,4,Q86T03 Q9BZF1 Q9UBU6 Q5HYI8 Q8N4V1 Q9BVT8 Q9Y277 P35232 Q03135 Q99623,PIP4P1 OSBPL8 FAM8A1 RABL3 MMGT1 TMUB1 VDAC3 PHB1 CAV1 PHB2
huMAP3_09672.1,4,Q9HC96 P61604 P78559 Q8NFA2,CAPN10 HSPE1 MAP1A NOXO1
huMAP3_09673.1,4,Q6UWV6 Q9HBJ0 Q9UM22,ENPP7 PLAC1 EPDR1
huMAP3_09674.1,4,A0PK05 O76024,TMEM72 WFS1
huMAP3_09675.1,4,Q96EU7 Q11206 Q8NBP7,C1GALT1C1 ST3GAL4 PCSK9
huMAP3_09676.1,4,P10073 P17029 P17040 Q3MJ62 Q63HK3 Q86W11 Q8IWY8 Q8TBC5 Q969J2 Q9BRR0 Q9H4T2 Q9NX65 O14709 O14771 O60304 P49910 P57086 Q15697 Q6P9G9 Q8N0Y2 Q8NF99 Q96IT1 Q96N95 P17028 Q13976 P28698,ZSCAN22 ZKSCAN1 ZSCAN20 ZSCAN23 ZKSCAN2 ZSCAN30 ZSCAN29 ZSCAN18 ZKSCAN4 ZKSCAN3 ZSCAN16 ZSCAN32 ZNF197 ZNF213 ZNF500 ZNF165 SCAND1 ZNF174 ZNF449 ZNF444 ZNF397 ZNF496 ZNF396 ZNF24 PRKG1 MZF1
huMAP3_09677.1,4,Q8N257 Q9BTT0 Q8TBE0 Q96A08 Q9UEE9 P09455,H2BC26 ANP32E BAHD1 H2BC1 CFDP1 RBP1
huMAP3_09678.1,4,Q9P1U0 Q9NYV6 P20742,POLR1H RRN3 PZP
huMAP3_09679.1,4,Q2KHT3 Q96DA2 Q8TF30 Q96DC9 Q9BUP0,CLEC16A RAB39B WHAMM OTUB2 EFHD1
huMAP3_09680.1,4,Q6ZMT1 Q9Y624,STAC2 F11R
huMAP3_09681.1,4,Q9HCE6 Q6ZUJ8 A6NGB9 O43516 Q8TF74 O00401 P16333 Q07912,ARHGEF10L PIK3AP1 WIPF3 WIPF1 WIPF2 WASL NCK1 TNK2
huMAP3_09682.1,4,Q96RY5 Q9H869 Q9UHA2 Q3T8J9 Q9BTM1,CRAMP1 YY1AP1 SS18L2 GON4L H2AJ
huMAP3_09683.1,4,E5RIL1 Q7KYR7 Q8WVV5 Q9H1E5,UPK3BL2 BTN2A1 BTN2A2 TMX4
huMAP3_09684.1,4,O14836 Q5T8P6 Q96SL8,TNFRSF13B RBM26 FIZ1
huMAP3_09685.1,4,P05120 Q9BXK1 Q15075,SERPINB2 KLF16 EEA1
huMAP3_09686.1,4,O94844 A1KZ92,RHOBTB1 PXDNL
huMAP3_09687.1,4,Q9HCL0 Q9UNH5 P29323 Q6UXM1 Q96A44 Q96BD6 Q96JA1 Q9NRF2 Q86W56 Q99614 Q9H0K1 Q9NZJ4,PCDH18 CDC14A EPHB2 LRIG3 SPSB4 SPSB1 LRIG1 SH2B1 PARG TTC1 SIK2 SACS
huMAP3_09688.1,4,P35625 Q70JA7 Q86X52 Q9P2E5,TIMP3 CHSY3 CHSY1 CHPF2
huMAP3_09689.1,4,O60346 Q96AC1 O75317 P62068 Q8TAF3 Q8TBZ3 Q5FBB7,PHLPP1 FERMT2 USP12 USP46 WDR48 WDR20 SGO1
huMAP3_09690.1,4,P15408 Q02930 Q8N2I9 Q92519 Q96RU8 P15336 P17275 P17535 P17544 P18847 P41161 P50549 P53539 Q7L5Y6 Q8NHY2 P01100 P05412,FOSL2 CREB5 STK40 TRIB2 TRIB1 ATF2 JUNB JUND ATF7 ATF3 ETV5 ETV1 FOSB DET1 COP1 FOS JUN
