HuMAP3_ID,ComplexConfidence,Uniprot_ACCs,genenames
huMAP3_00155.1,1,P36955 Q969R5 Q9ULV3,SERPINF1 L3MBTL2 CIZ1
huMAP3_00156.1,1,Q494U1 O95163 Q6IA86 Q9H9T3,PLEKHN1 ELP1 ELP2 ELP3
huMAP3_00157.1,1,Q8WUP2 Q8N5W9 P22681 Q15464,FBLIM1 RFLNB CBL SHB
huMAP3_00158.1,1,P32298 P43250,GRK4 GRK6
huMAP3_00159.1,1,P13984 Q14004 Q9NYV4 O75909,GTF2F2 CDK13 CDK12 CCNK
huMAP3_00160.1,1,P48634 Q6Y7W6,PRRC2A GIGYF2
huMAP3_00161.1,1,O94952 Q5XUX0 Q8N461 Q8NEA4 Q8NEZ5 Q96ME1 Q9H469 Q9H4M3 Q5XUX1 Q8N5M4 Q8NHM5 Q96CD0 Q9UKA2 Q9UKT5 Q9Y2K7 O75618 P41002 P63208 Q13616 Q8NFZ0,FBXO21 FBXO31 FBXL16 FBXO36 FBXO22 FBXL18 FBXL15 FBXO44 FBXW9 TTC9C KDM2B FBXL8 FBXL4 FBXO4 KDM2A DEDD CCNF SKP1 CUL1 FBH1
huMAP3_00162.1,1,A6NDU8 O00458 Q13304 Q5JWR5,RIMOC1 IFRD1 GPR17 DOP1A
huMAP3_00163.1,1,Q7Z5P4 Q8WUG5 Q9H1Z9,HSD17B13 SLC22A17 TSPAN10
huMAP3_00164.1,1,Q8ND83 Q9P270 Q14008 Q9Y6A5,SLAIN1 SLAIN2 CKAP5 TACC3
huMAP3_00165.1,1,Q9NVL1 Q8N7N1 Q99611,FAM86C1P FAM86B1 SEPHS2
huMAP3_00166.1,1,Q9UNH5 P54762 Q53FZ2 Q96A44 Q96BD6 Q9NRF2 Q86W56 Q99614 Q9H0K1 Q9NZJ4,CDC14A EPHB1 ACSM3 SPSB4 SPSB1 SH2B1 PARG TTC1 SIK2 SACS
huMAP3_00167.1,1,Q5T1B0 Q8IV45,AXDND1 UNC5CL
huMAP3_00168.1,1,Q49AR2 Q9Y2W2,C5orf22 WBP11
huMAP3_00169.1,1,Q9UJG1 O95164 Q9UNE0 P10721,MOSPD1 UBL3 EDAR KIT
